file,judge,CompositionUserChoice,scoreVisBalance,slopeVisualBalance,ScoreRuleOfThirdThresh,ScoreBigTriangle,diagonalasymmetryBalance,scoreFourTriangleDistance,scoreHullBalance,scoreNumTangents,scoreSpiralGoldenRatio,scoreHorizzontalCorners,scoreVerticalCorners,verticalLinesBalanceScore,horizontalLinesBalanceScore,scoreProportionAreaVsGoldenRatio,dftDiffScoreLfRt,ssimAsymmetry,diagonalAsymmetry,histHueCorrelationBalance,warmColorBalance,ratioForeVsBackground,fractalScoreFromTarget,ratioRuleOfThirdPixels,DistLeftBorder,DistRightBorder,DistTopBorder,DistBotBorder,DistExtLeftToHalf,DistExtRightToHalf,DistExtTopToHalf,DistExtBotToHalf,firstPointLeftY,secondtPointLeftY,thirdPointLeftY,firstPointRightY,secondtPointRightY,thirdPointRightY
debug_comp.0000,7,other,0.7793271786709575,0.9577464788732395,0.6692976401223933,0.7381536092537162,0.8333333333333334,0.6792322480756409,0.865964187395225,0.049787068367863944,0.6879076728602136,0.5336580505029906,0.3332041212728118,0.9444444444444444,0.826530612244898,0.7008867329785927,0.16868354348597311,0.48456241955206303,0.278971513890657,0.9440574744824536,1.7962962962962963,0.31872395833333333,0.6817361452847432,0.6550355548205722,0.12083333333333333,0.1375,0.0625,0.0875,0.18938863628939187,-0.1414827237195804,0.29050363355922265,0.10172129679778084,0.75,0.74375,0.7625,0.3625,0.41875,0.55625
debug_comp.0001,7,other,0.6503660072186771,0.962962962962963,0.6595612725224761,0.7258657475724078,0.8518518518518519,0.6801593539130769,0.8700537329460483,0.36787944117144233,0.6982155070754716,0.49336796698907165,0.19233819964790103,0.7931034482758621,0.8292682926829268,0.7052797829689154,0.5213483822652335,0.4844037655451915,0.278905515010185,0.9439329094334481,1.8483412322274881,0.3184375,0.679676409192767,0.6544537259118353,0.12083333333333333,0.1375,0.0625,0.0875,0.18938863628939187,-0.1436744970797222,0.29050363355922265,0.10172129679778084,0.75,0.74375,0.7625,0.35625,0.4125,0.55625
debug_comp.0002,5,other,0.7889380328403719,0.9861111111111112,0.6777327153902205,0.7408578147499165,0.8333333333333334,0.6873365626979625,0.6816215225137888,0.36787944117144233,0.6624011144040273,0.5336580505029906,0.3332041212728118,0.7307692307692308,0.9560439560439561,0.7145874232580561,0.1908443829476837,0.48553129079901114,0.27274871365491915,0.9515953920499155,1.8679245283018868,0.31572916666666667,0.653158305614014,0.6838984466343745,0.11666666666666667,0.15833333333333333,0.0625,0.0875,0.19002923751652298,-0.16029486718059452,0.26990224567836074,0.10172129679778084,0.75625,0.7375,0.76875,0.35,0.45625,0.73125
debug_comp.0003,5,other,0.985590460530323,0.935483870967742,0.7013687350562626,0.768407343659483,0.8666666666666667,0.7027429884056954,0.7806114973882153,0.36787944117144233,0.5529551113324322,0.7305190281594249,0.2847909148666525,0.5769230769230769,0.9545454545454546,0.7387583049840976,0.5887563465601409,0.4960339529939565,0.26352244459599217,0.956133061548837,1.8026905829596414,0.2866666666666667,0.659693045065961,0.6384217335058214,0.1125,0.2125,0.0625,0.0875,0.1875,-0.21509849165233846,0.21654644100310472,0.1193879065157867,0.75625,0.73125,0.76875,0.35625,0.4375,0.6
debug_comp.0004,5,other,0.8435233237169771,0.7887323943661972,0.6555892565405863,0.7207198377223302,0.7916666666666666,0.6707397112751091,0.628348158106232,0.049787068367863944,0.4831706289872408,0.7305190281594249,0.4561197017856392,0.5106382978723405,1.0,0.6904435014541855,0.5337970351299466,0.4165314163828837,0.23560830527858767,0.9478337057638205,1.748878923766816,0.25268229166666667,0.6508067933074992,0.5147891755821271,0.10416666666666667,0.2708333333333333,0.0625,0.0875,0.18262172500675938,0.27401971745762305,0.1396921217853351,0.13794121131039042,0.75625,0.7375,0.81875,0.53125,0.55625,0.875
debug_comp.0005,4,other,0.6478210272076488,0.9714285714285714,0.660022648431569,0.7682561445174458,0.76,0.6702547326794636,0.805667054513977,0.049787068367863944,0.48252210027949116,0.7305190281594249,0.24341195085092968,0.27450980392156865,1.0,0.8098891995843112,0.5223923189485318,0.43640808101698914,0.25930872268650906,0.9348194956749454,1.9295154185022025,0.27276041666666667,0.5992971966405118,0.5348724415559221,0.09583333333333334,0.2375,0.0625,0.0875,0.17800007802744855,0.24044230077089182,0.056056766862807125,0.1726529112925055,0.75625,0.7375,0.775,0.53125,0.55,0.8875
debug_comp.0006,5,other,0.9667195360259759,1.0,0.6551184107543754,0.757086174262082,0.7777777777777778,0.6526264268462884,0.8106873004640119,0.1353352832366127,0.6055905554283499,1.0,0.17781706177801082,0.8846153846153846,0.9052631578947369,0.7601249968432694,0.7271006875076472,0.4666297218249157,0.26951380986735185,0.959552345218964,1.9646017699115044,0.2900260416666667,0.6558967376119629,0.5314525700721263,0.0875,0.19583333333333333,0.0625,0.0875,0.17365554986812257,0.20021689627889938,-0.07511565157216644,0.20833333333333334,0.75625,0.7375,0.76875,0.53125,0.5625,0.88125
debug_comp.0007,5,other,0.9531422572579052,0.9195402298850575,0.6425011636221994,0.7282897793982084,0.72,0.6654464414937593,0.7641003600790045,0.36787944117144233,0.6003087150749934,0.5336580505029906,0.2847909148666525,0.7419354838709677,0.9318181818181819,0.7778736949296429,0.9014606166963166,0.455870725726195,0.2722978986193828,0.9697698265379304,2.0,0.3145833333333333,0.6584759883780384,0.5649916247906198,0.07916666666666666,0.1625,0.0625,0.0875,0.16960943697539682,0.1667708008015792,-0.15969806580614002,0.24860723150293831,0.75625,0.7375,0.76875,0.53125,0.55625,0.8875
debug_comp.0008,5,other,0.786262889720003,0.9108910891089109,0.5668135996262696,0.6914385338788944,0.7666666666666667,0.6222594641144241,0.8814387944525265,0.049787068367863944,0.6774438275203021,0.4561197017856392,0.24341195085092968,0.7169811320754718,0.9215686274509804,0.7260592787757432,0.5830601312399019,0.5645179643276905,0.3168419361575333,0.975428115681952,2.0,0.32669270833333336,0.7109578468417757,0.5707470892626132,0.07083333333333333,0.10416666666666667,0.0625,0.0875,0.1696606089291861,0.12596847048192478,-0.23702437755546488,0.28111879655721667,0.75625,0.74375,0.76875,0.58125,0.60625,0.88125
debug_comp.0009,3,other,0.8151110188271771,0.941747572815534,0.5075114238488659,0.6473495467849639,0.7931034482758621,0.5929604099154314,0.6138411384282517,0.1353352832366127,0.8774024111712891,0.7901756630088093,0.38984736042289797,0.8936170212765957,0.9411764705882353,0.7009089967578886,0.9582263856170339,0.5886449359362362,0.3169841809144094,0.9761572848355288,2.0,0.34692708333333333,0.6992252158515222,0.5192585276912558,0.06666666666666667,0.0625,0.0625,0.0875,0.1679637030895531,0.09446486707295529,-0.29050363355922265,0.30152966502301043,0.75625,0.7375,0.76875,0.58125,0.60625,0.475
